"application_id","organization_id","provider_id","snapshot_date_id","applicationcode","fullresourcescount","devresourcescount","qaresourcescount","pdnresourcescount","fullaccountscount","devaccountscount","qaaccountscount","pdnaccountscount","redsecuritycheckscount","redsecurityresourcescount","yellowsecuritycheckscount","yellowsecurityresourcescount","redfaulttolerancecheckscount","redfaulttoleranceresourcescount","yellowfaulttolerancecheckscount","yellowfaulttoleranceresourcescount","redperformancecheckscount","redperformanceresourcescount","yellowperformancecheckscount","yellowperformanceresourcescount","redcostoptimizingcheckscount","redcostoptimizingresourcescount","yellowcostoptimizingcheckscount","yellowcostoptimizingresourcescount","redsecuritydensity","yellowsecuritydensity","redfaulttolerancedensity","yellowfaulttolerancedensity","redperformancedensity","yellowperformancedensity","redcostoptimizingdensity","yellowcostoptimizingdensity","ppn_tm","pdnresourcessize","clasification"
"171","1","1","20231021","app00171","59","22","20","17","4","1","2","1","2","2","4","5","0","0","1","2","0","0","1","1","0","0","0","0","0.118","0.294","0.000","0.118","0.000","0.059","0.000","0.000","2023-10-21 01:04:53.696000","1.230","Yellow"
"338","1","1","20231021","app00338","106","35","35","36","3","1","1","1","2","6","6","12","0","0","1","4","0","0","2","2","0","0","0","0","0.167","0.333","0.000","0.111","0.000","0.056","0.000","0.000","2023-10-21 01:04:53.696000","1.556","Yellow"
"812","1","1","20231021","app00812","44","16","14","14","3","1","1","1","2","2","4","3","0","0","1","1","0","0","0","0","0","0","0","0","0.143","0.214","0.000","0.071","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.146","Yellow"
"418","1","1","20231021","app00418","74","25","23","26","3","1","1","1","0","0","1","2","1","4","2","3","0","0","0","0","0","0","0","0","0.000","0.077","0.154","0.115","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.415","Yellow"
"658","1","1","20231021","app00658","252","126","95","31","4","1","1","2","2","4","3","6","0","0","1","2","0","0","1","1","0","0","0","0","0.129","0.194","0.000","0.065","0.000","0.032","0.000","0.000","2023-10-21 01:04:53.696000","1.491","Yellow"
"307","1","1","20231021","app00307","65","18","17","30","3","1","1","1","0","0","3","3","1","6","2","3","0","0","0","0","0","0","0","0","0.000","0.100","0.200","0.100","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.477","Yellow"
"783","1","1","20231021","app00783","95","27","21","47","5","2","1","2","2","8","4","11","0","0","1","2","0","0","2","2","0","0","0","0","0.170","0.234","0.000","0.043","0.000","0.043","0.000","0.000","2023-10-21 01:04:53.696000","1.672","Yellow"
"59","1","1","20231021","app00059","29","18","4","7","5","2","2","1","1","3","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0.429","0.429","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.845","Red"
"625","1","1","20231021","app00625","28","24","1","3","4","2","1","1","1","1","2","1","0","0","1","1","0","0","0","0","0","0","0","0","0.333","0.333","0.000","0.333","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Red"
"324","1","1","20231021","app00324","9","1","2","6","3","1","1","1","1","2","2","4","0","0","1","2","0","0","0","0","0","0","0","0","0.333","0.667","0.000","0.333","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.778","Red"
"736","1","1","20231021","app00736","6","3","0","3","3","1","0","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.333","0.333","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Red"
"785","1","1","20231021","app00785","363","49","163","151","3","1","1","1","2","14","6","52","1","56","3","1","0","0","0","0","0","0","0","0","0.093","0.344","0.371","0.007","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","2.179","Red"
"631","1","1","20231021","app00631","31","14","15","2","3","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.500","0.500","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.301","Red"
"138","1","1","20231021","app00138","2","0","0","2","1","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0.500","0.500","0.500","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.301","Red"
"215","1","1","20231021","app00215","8","4","2","2","4","2","1","1","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0.500","0.500","0.000","0.500","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.301","Red"
"851","1","1","20231021","app00851","105","50","52","3","3","1","1","1","1","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0.667","0.667","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Red"
"392","1","1","20231021","app00392","5","0","2","3","2","0","1","1","1","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0.667","0.667","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Red"
"636","1","1","20231021","app00636","7","3","1","3","5","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"487","1","1","20231021","app00487","17","9","5","3","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"269","1","1","20231021","app00269","9","3","3","3","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"327","1","1","20231021","app00327","9","3","3","3","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"197","1","1","20231021","app00197","3","0","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"236","1","1","20231021","app00236","10","4","3","3","5","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"668","1","1","20231021","app00668","3","0","0","3","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"180","1","1","20231021","app00180","8","2","3","3","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"386","1","1","20231021","app00386","11","7","1","3","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"574","1","1","20231021","app00574","4","1","0","3","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"911","1","1","20231021","app00911","9","3","3","3","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"782","1","1","20231021","app00782","9","3","3","3","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"886","1","1","20231021","app00886","3","0","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.477","Green"
"638","1","1","20231021","app00638","8","0","4","4","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"850","1","1","20231021","app00850","9","3","0","6","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.778","Green"
"683","1","1","20231021","app00683","12","4","4","4","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"719","1","1","20231021","app00719","28","0","0","28","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.447","Green"
"875","1","1","20231021","app00875","7","2","0","5","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.699","Green"
"491","1","1","20231021","app00491","11","2","5","4","5","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"601","1","1","20231021","app00601","60","22","12","26","8","2","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.415","Green"
"600","1","1","20231021","app00600","19","2","1","16","5","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.204","Green"
"755","1","1","20231021","app00755","6","0","0","6","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.778","Green"
"104","1","1","20231021","app00104","25","8","0","17","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.230","Green"
"100","1","1","20231021","app00100","25","9","8","8","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.903","Green"
"648","1","1","20231021","app00648","11","4","3","4","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"672","1","1","20231021","app00672","8","1","1","6","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.778","Green"
"358","1","1","20231021","app00358","4","0","0","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"218","1","1","20231021","app00218","16","5","5","6","15","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.778","Green"
"500","1","1","20231021","app00500","35","16","0","19","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.279","Green"
"502","1","1","20231021","app00502","10","0","0","10","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.000","Green"
"57","1","1","20231021","app00057","4","0","0","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"397","1","1","20231021","app00397","7","2","0","5","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.699","Green"
"111","1","1","20231021","app00111","16","0","0","16","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.204","Green"
"780","1","1","20231021","app00780","5","0","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.699","Green"
"90","1","1","20231021","app00090","17","0","11","6","5","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.778","Green"
"92","1","1","20231021","app00092","6","0","0","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.778","Green"
"89","1","1","20231021","app00089","44","14","0","30","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.477","Green"
"91","1","1","20231021","app00091","16","1","0","15","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.176","Green"
"65","1","1","20231021","app00065","14","10","0","4","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"611","1","1","20231021","app00611","243","145","94","4","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"201","1","1","20231021","app00201","38","12","0","26","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.415","Green"
"195","1","1","20231021","app00195","98","0","34","64","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.806","Green"
"296","1","1","20231021","app00296","47","27","0","20","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.301","Green"
"43","1","1","20231021","app00043","12","0","0","12","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.079","Green"
"472","1","1","20231021","app00472","15","9","0","6","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.778","Green"
"71","1","1","20231021","app00071","270","40","92","138","6","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","2.140","Green"
"232","1","1","20231021","app00232","54","0","15","39","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.591","Green"
"764","1","1","20231021","app00764","36","0","10","26","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.415","Green"
"767","1","1","20231021","app00767","10","6","0","4","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"766","1","1","20231021","app00766","48","26","12","10","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.000","Green"
"438","1","1","20231021","app00438","18","1","6","11","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.041","Green"
"178","1","1","20231021","app00178","4","0","0","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"388","1","1","20231021","app00388","7","0","0","7","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.845","Green"
"825","1","1","20231021","app00825","69","27","38","4","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"740","1","1","20231021","app00740","115","60","51","4","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"892","1","1","20231021","app00892","29","7","7","15","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.176","Green"
"132","1","1","20231021","app00132","111","59","28","24","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.380","Green"
"136","1","1","20231021","app00136","23","6","0","17","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.230","Green"
"597","1","1","20231021","app00597","105","73","28","4","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"210","1","1","20231021","app00210","68","34","29","5","4","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.699","Green"
"476","1","1","20231021","app00476","31","10","9","12","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.079","Green"
"481","1","1","20231021","app00481","143","82","55","6","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.778","Green"
"572","1","1","20231021","app00572","10","2","4","4","5","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.602","Green"
"913","1","1","20231021","app00913","12","2","0","10","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.000","Green"
"912","1","1","20231021","app00912","11","4","0","7","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","0.845","Green"
"657","1","1","20231021","app00657","170","5","118","47","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.672","Green"
"655","1","1","20231021","app00655","57","28","15","14","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.146","Green"
"854","1","1","20231021","app00854","237","90","97","50","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2023-10-21 01:04:53.696000","1.699","Green"
